msoa,index-of-transport-accessibility
E02002604,744
E02002605,731
E02002606,756
E02002607,752
E02002608,718
E02002609,756
E02002610,774
E02002611,823
E02002612,758
E02002613,826
E02002614,764
E02002615,645
E02002616,524
E02002617,665
E02002618,570
E02002619,559
E02002620,570
E02002621,646
E02002622,689
E02002623,612
E02002624,729
E02002625,688
E02002626,656
E02002627,717
E02002628,728
E02002629,662
E02002630,657
E02002631,591
E02002632,459
E02002633,136
E02002634,131
E02002635,94
E02002636,123
E02002637,154
E02002638,141
E02002639,200
E02002640,178
E02002641,223
E02002642,225
E02002643,261
E02002644,355
E02002645,337
E02002646,456
E02002647,322
E02002648,346
E02002649,283
E02002650,401
E02002651,354
E02002652,78
E02002653,80
E02002654,97
E02002655,77
E02002656,105
E02002657,84
E02002658,85
E02002659,96
E02002660,84
E02002661,80
E02002662,85
E02002663,109
E02002664,112
E02002665,111
E02002666,119
E02002667,122
E02002668,110
E02002669,122
E02002670,114
E02002671,118
E02002672,93
E02002673,119
E02002674,123
E02002675,142
E02002676,131
E02002677,142
E02002678,148
E02002679,147
E02002680,178
E02002681,171
E02002682,173
E02002684,24
E02002685,26
E02002686,29
E02002687,28
E02002688,35
E02002689,34
E02002691,81
E02002692,119
E02002693,67
E02002694,90
E02002695,53
E02002696,106
E02002697,75
E02002698,139
E02002699,94
E02002700,96
E02002701,189
E02002702,111
E02002703,118
E02002704,66
E02002705,136
E02002706,115
E02002707,324
E02002708,126
E02002709,297
E02002710,149
E02002711,168
E02002712,67
E02002714,48
E02002715,260
E02002716,69
E02002717,183
E02002718,207
E02002719,208
E02002720,414
E02002721,381
E02002722,20
E02002723,438
E02002724,389
E02002725,469
E02002726,125
E02002727,101
E02002728,114
E02002729,104
E02002730,97
E02002731,95
E02002732,104
E02002733,101
E02002734,98
E02002735,85
E02002736,92
E02002737,85
E02002738,85
E02002739,70
E02002740,85
E02002741,85
E02002742,66
E02002743,70
E02002744,79
E02002745,57
E02002746,61
E02002747,63
E02002748,66
E02002749,169
E02002750,148
E02002751,157
E02002752,136
E02002753,326
E02002754,304
E02002755,229
E02002756,224
E02002757,283
E02002758,202
E02002759,165
E02002760,216
E02002761,227
E02002762,200
E02002763,206
E02002764,199
E02002765,176
E02002766,173
E02002767,167
E02002768,294
E02002769,151
E02002770,266
E02002771,209
E02002772,138
E02002773,199
E02002774,199
E02002775,231
E02002776,168
E02002777,246
E02002778,249
E02002779,156
E02002780,196
E02002781,161
E02002782,323
E02002783,286
E02002784,139
E02002785,237
E02002786,186
E02002787,261
E02002788,196
E02002789,320
E02002790,214
E02002791,242
E02002792,218
E02002793,285
E02002794,201
E02002795,341
E02003794,732
E02003795,614
E02003796,585
E02003797,519
E02003798,407
E02003799,368
E02003800,526
E02003801,610
E02003802,523
E02003803,407
E02003804,588
E02003805,580
E02003806,563
E02003807,412
E02003808,437
E02003809,271
E02003810,127
E02003811,560
E02003812,694
E02003813,651
E02003814,570
E02003815,184
E02003816,297
E02003817,406
E02003818,223
E02003819,652
E02003820,553
E02003821,688
E02003822,577
E02003823,446
E02003824,448
E02003825,314
E02003826,490
E02003827,353
E02003828,262
E02003829,533
E02003830,319
E02003831,533
E02003832,371
E02003833,204
E02003834,385
E02003835,308
E02003836,304
E02003837,375
E02003838,400
E02003839,255
E02003840,83
E02003841,299
E02003842,451
E02003843,570
E02003844,303
E02003845,633
E02003846,496
E02003847,506
E02003848,548
E02003849,596
E02003850,548
E02003851,606
E02003852,588
E02003853,355
E02003854,632
E02003855,544
E02003856,690
E02003857,672
E02003858,643
E02003859,648
E02003860,606
E02003861,699
E02003862,405
E02003863,734
E02003864,598
E02003865,278
E02003866,290
E02003867,445
E02003868,272
E02003869,353
E02003870,296
E02003871,324
E02003872,248
E02003873,212
E02003874,706
E02003875,759
E02003876,725
E02003877,630
E02003878,735
E02003879,652
E02003880,690
E02003881,655
E02003882,722
E02003883,694
E02003884,672
E02003885,686
E02003886,629
E02003887,552
E02003888,596
E02003889,537
E02003890,512
E02003891,494
E02003965,37
E02003966,42
E02003967,38
E02003968,32
E02003969,28
E02003970,37
E02003971,38
E02003972,28
E02003973,28
E02003974,29
E02003975,33
E02003976,47
E02003977,24
