msoa,index-of-transport-accessibility
E02005193,6
E02005194,7
E02005195,1
E02005196,7
E02005197,5
E02005198,7
E02005199,1
E02005200,7
E02005201,4
E02005202,5
E02005203,3
E02005204,2
E02005205,3
E02005206,6
E02005207,6
E02005208,4
E02005209,2
E02005210,5
E02005211,3
E02005212,4
E02005213,8
E02005214,7
E02005215,7
E02005216,10
E02005217,7
E02005218,9
E02005219,7
E02005220,7
E02005221,1
E02005222,1
E02005223,4
E02005224,7
E02005225,1
E02005226,8
E02005228,7
E02005229,7
E02005230,8
E02005231,11
E02005233,7
E02005234,7
E02005235,8
E02005236,5
E02005237,7
E02005238,7
E02005239,2
E02005240,3
E02005241,3
E02005242,3
E02005243,5
E02005244,8
E02005245,4
E02005246,9
E02005247,8
E02005248,10
E02005249,10
E02005250,10
E02005251,10
E02005252,10
E02005253,3
E02005254,5
E02005255,12
E02005256,11
E02005257,9
E02005258,16
E02005259,12
E02005260,13
E02005261,10
E02005262,9
E02005263,18
E02005264,18
E02005265,10
E02005266,13
E02005267,19
E02005268,12
E02005269,19
E02005270,3
E02005271,3
E02005272,3
E02005273,3
E02005274,1
E02005275,3
E02005276,1
E02005277,4
E02005278,3
E02005279,5
E02005280,2
E02005281,6
E02005284,4
E02005285,5
E02005286,4
E02005287,11
E02005288,5
E02005289,9
E02005290,12
E02005291,15
E02005292,10
E02005293,11
E02005294,8
E02005295,12
E02005296,6
E02005297,2
E02005298,11
E02005299,9
E02005300,6
E02005301,7
E02005302,10
E02005303,6
E02005304,1
E02005305,3
E02005306,1
E02005307,2
E02005308,2
E02005309,5
E02005310,4
E02005311,4
E02005312,6
E02005313,6
E02005314,6
E02005315,3
E02005316,6
E02005317,7
E02005318,7
E02005319,4
E02005320,5
E02005321,6
E02005322,1
E02005323,7
E02005324,2
E02005325,2
E02005326,9
E02005327,1
E02005328,9
E02005329,8
E02005330,10
E02005331,9
E02005332,13
E02005702,1
E02005703,1
E02005704,1
E02005705,1
E02005706,2
E02005707,2
E02005708,1
E02005709,6
E02005710,5
E02005711,5
E02005712,7
E02005713,5
E02005714,4
E02005715,5
E02005716,6
E02005717,4
E02005718,7
E02005719,5
E02005720,1
E02005721,3
E02005722,3
E02005723,4
E02005724,4
E02005725,2
E02005726,2
E02005727,1
E02005728,1
E02005729,2
E02005730,1
E02005731,2
E02005732,1
E02005733,1
E02005734,4
E02005735,6
E02005736,6
E02005737,5
E02005738,6
E02005739,7
E02005740,4
E02005741,3
E02005742,1
E02005743,1
E02005744,1
E02005745,3
E02005746,3
E02005747,3
E02005748,1
E02005749,2
E02005750,2
E02005751,2
E02005752,1
E02005753,2
E02005754,2
E02005755,1
E02005756,1
E02005757,2
E02005758,2
E02005759,1
E02005760,1
E02005761,1
E02005762,2
E02005763,1
E02005764,2
E02005765,1
E02005766,1
E02005767,3
E02005768,5
E02005769,5
E02005770,9
E02005771,9
E02005772,4
E02005773,9
E02005774,9
E02005775,9
E02005776,1
E02005777,8
E02005778,1
E02005779,9
E02005780,9
E02005781,3
E02005782,1
E02005783,1
E02005784,1
E02005785,1
E02005786,1
E02005787,1
E02005788,1
E02005789,1
E02005791,1
E02005794,1
E02005795,2
E02005796,1
E02005797,2
E02005798,1
E02005799,6
E02005800,6
E02005801,6
E02005802,6
E02005803,6
E02005804,8
E02005805,3
E02005806,3
E02005807,1
E02005808,1
E02005809,1
E02005810,1
E02005811,1
E02005812,1
E02005813,3
E02005814,3
E02005815,3
E02005816,1
E02005817,1
E02005818,1
E02006803,6
E02006811,9
E02006812,13
E02006813,12
E02006814,15
E02006841,21
E02006842,18
E02006843,30
E02006844,29
E02006852,22
E02006860,22
E02006861,26
E02006868,22
E02006869,16
E02006870,1
E02006871,11
E02006875,29
E02006876,20
E02006881,9
E02006884,3
E02006891,3
E02006892,3
E02006893,10
E02006902,24
E02006909,9
E02006910,9
E02006912,28
E02006913,20
E02006914,28
E02006915,24
E02006916,28
E02006917,28
E02006932,22
E02006933,18
E02006934,18
