msoa,index-of-transport-accessibility
E02002605,46
E02002606,65
E02002607,155
E02002608,46
E02002609,46
E02002610,5
E02002611,12
E02002612,12
E02002613,5
E02002614,5
E02002615,33
E02002616,28
E02002617,33
E02002618,33
E02002619,38
E02002620,47
E02002621,37
E02002622,37
E02002623,54
E02002624,52
E02002625,25
E02002626,50
E02002627,44
E02002628,41
E02002629,43
E02002630,48
E02002631,35
E02002632,28
E02002633,30
E02002634,29
E02002635,33
E02002636,35
E02002637,36
E02002638,38
E02002639,36
E02002640,38
E02002641,38
E02002642,38
E02002643,35
E02002644,31
E02002645,36
E02002646,30
E02002647,34
E02002648,32
E02002649,34
E02002650,28
E02002651,29
E02002652,25
E02002653,35
E02002654,40
E02002655,31
E02002656,41
E02002657,38
E02002658,36
E02002659,38
E02002660,32
E02002661,40
E02002662,38
E02002663,44
E02002664,40
E02002665,43
E02002666,47
E02002667,42
E02002668,40
E02002669,45
E02002670,33
E02002671,42
E02002672,32
E02002673,43
E02002674,36
E02002675,46
E02002676,43
E02002677,45
E02002678,46
E02002679,43
E02002680,52
E02002681,45
E02002682,40
E02002684,10
E02002685,14
E02002686,14
E02002687,13
E02002688,13
E02002689,1
E02002691,4
E02002692,4
E02002693,1
E02002694,3
E02002695,1
E02002696,13
E02002697,12
E02002698,12
E02002699,16
E02002700,34
E02002701,2
E02002702,38
E02002703,9
E02002704,1
E02002705,32
E02002706,39
E02002707,12
E02002708,36
E02002709,8
E02002710,31
E02002711,22
E02002712,20
E02002714,1
E02002715,23
E02002716,13
E02002717,36
E02002718,19
E02002719,36
E02002720,3
E02002721,2
E02002722,1
E02002723,13
E02002724,13
E02002725,11
E02002726,14
E02002727,23
E02002728,23
E02002729,23
E02002730,23
E02002731,23
E02002732,23
E02002733,23
E02002734,23
E02002735,23
E02002736,23
E02002737,23
E02002738,22
E02002739,23
E02002740,23
E02002741,23
E02002742,20
E02002743,23
E02002744,23
E02002745,21
E02002746,23
E02002747,21
E02002748,19
E02002749,29
E02002750,6
E02002751,11
E02002752,16
E02002753,12
E02002754,2
E02002755,19
E02002756,25
E02002757,26
E02002758,24
E02002759,10
E02002760,16
E02002761,5
E02002762,17
E02002763,16
E02002764,16
E02002765,17
E02002766,16
E02002767,15
E02002768,7
E02002769,15
E02002770,1
E02002771,7
E02002772,19
E02002773,21
E02002774,21
E02002775,22
E02002776,21
E02002777,24
E02002778,24
E02002779,26
E02002780,26
E02002781,30
E02002782,22
E02002783,24
E02002784,48
E02002785,26
E02002786,26
E02002787,28
E02002788,44
E02002789,25
E02002790,35
E02002791,16
E02002792,29
E02002793,25
E02002794,20
E02002795,15
E02003794,1
E02003795,11
E02003796,14
E02003797,36
E02003798,17
E02003799,11
E02003800,7
E02003801,14
E02003802,43
E02003803,21
