msoa,index-of-transport-accessibility
E02003871,25
E02003872,19
E02003873,24
E02003874,35
E02003875,36
E02003876,36
E02003877,34
E02003878,28
E02003879,28
E02003880,32
E02003881,30
E02003882,26
E02003883,26
E02003884,27
E02003885,28
E02003886,33
E02003887,32
E02003888,34
E02003889,35
E02003890,35
E02003891,18
E02003965,5
E02003966,9
E02003967,6
E02003968,9
E02003969,9
E02003970,10
E02003971,9
E02003972,11
E02003973,13
E02003974,13
E02003975,13
E02003976,1
E02003977,14
E02003978,14
E02003979,13
E02003980,13
E02003981,13
E02003982,13
E02003983,13
E02003984,12
E02003985,12
E02003986,11
E02003987,8
E02003988,7
E02003989,13
E02003990,13
E02003991,14
E02003992,14
E02003993,12
E02003994,13
E02003995,14
E02003996,14
E02003997,12
E02003998,12
E02003999,12
E02004000,11
E02004001,11
E02004002,11
E02004003,10
E02004004,10
E02004005,7
E02004006,6
E02004007,9
E02004008,3
E02004009,5
E02004010,4
E02004011,5
E02004012,3
E02004013,1
E02004014,1
E02004015,2
E02004016,7
E02004017,6
E02004018,7
E02004019,7
E02004020,7
E02004021,6
E02004022,7
E02004023,1
E02004024,6
E02004025,9
E02004026,12
E02004027,2
E02004028,15
E02004290,103
E02004291,82
E02004292,91
E02004293,74
E02004294,72
E02004295,77
E02004296,47
E02004297,70
E02004298,23
E02004299,72
E02004300,44
E02004301,61
E02004302,53
E02004303,22
E02004304,20
E02004305,15
E02004306,32
E02004307,33
E02004308,46
E02004309,43
E02004310,39
E02004311,58
E02004312,60
E02004313,51
E02004314,45
E02004315,44
E02004316,29
E02004317,30
E02004318,39
E02004319,40
E02004320,53
E02004321,47
E02004322,49
E02004323,56
E02004324,42
E02004325,39
E02004326,44
E02004327,34
E02004328,37
E02004329,36
E02004330,29
E02004331,39
E02004332,38
E02004333,34
E02004334,40
E02004335,35
E02004336,31
E02004337,32
E02004338,30
E02004339,39
E02004340,31
E02004341,35
E02004342,33
E02004343,33
E02004344,32
E02004345,13
E02004346,2
E02004347,3
E02004348,2
E02004349,19
E02004350,22
E02004351,30
E02004352,26
E02004353,22
E02004354,20
E02004355,22
E02005176,38
E02005177,43
E02005178,42
E02005179,53
E02005180,44
E02005181,45
E02005182,41
E02005183,39
E02005184,35
E02005185,45
E02005186,50
E02005189,65
E02005190,68
E02005191,64
E02005192,69
E02005193,59
E02005194,66
E02005195,52
E02005196,58
E02005197,72
E02005198,62
E02005199,63
E02005200,61
E02005201,64
E02005202,80
E02005203,40
E02005204,51
E02005205,48
E02005206,32
E02005207,31
E02005208,30
E02005209,45
E02005210,29
E02005211,30
E02005212,52
E02005213,55
E02005214,50
E02005215,55
E02005216,51
E02005217,53
E02005218,50
E02005219,54
E02005220,49
E02005221,18
E02005222,12
E02005223,18
E02005224,18
E02005225,18
E02005226,17
E02005228,17
E02005229,17
E02005230,17
E02005231,18
E02005233,18
E02005234,18
E02005235,18
E02005236,17
E02005237,18
E02005238,18
E02005239,18
E02005240,22
E02005241,22
E02005242,22
E02005243,31
E02005244,28
E02005245,31
E02005246,28
E02005247,34
E02005248,30
E02005249,31
E02005250,33
E02005251,30
E02005252,37
E02005253,33
E02005254,41
E02005255,45
E02005256,45
E02005257,45
E02005258,48
E02005259,54
E02005260,45
E02005261,56
E02005262,45
E02005263,52
E02005264,48
E02005265,45
E02005266,58
E02005267,54
E02005268,59
E02005269,54
E02005270,13
E02005271,30
E02005272,31
E02005273,37
E02005274,46
E02005275,38
E02005276,44
E02005277,45
E02005278,50
E02005279,67
E02005280,47
E02005281,62
E02005284,74
E02005285,76
E02005286,61
E02005287,50
E02005288,65
E02005289,50
E02005290,61
E02005291,54
E02005292,53
E02005293,62
E02005294,64
E02005295,57
E02005296,50
E02005297,47
E02005298,52
E02005299,54
E02005300,53
E02005301,54
E02005302,57
E02005303,54
E02005304,33
E02005305,25
E02005306,36
E02005307,51
E02005308,54
E02005309,66
E02005310,71
E02005311,61
E02005312,56
E02005313,59
E02005314,59
E02005315,76
E02005316,62
E02005317,67
E02005318,70
E02005319,26
E02005320,28
E02005321,30
E02005322,21
E02005323,30
E02005324,15
E02005325,11
E02005326,33
E02005327,32
E02005328,32
E02005329,33
E02005330,35
E02005331,40
E02005332,40
E02005702,3
E02005703,3
E02005704,4
E02005705,1
E02005706,2
E02005707,2
E02005708,1
E02005709,41
E02005710,45
E02005711,45
E02005712,49
E02005713,50
E02005714,70
E02005715,78
E02005716,77
E02005717,64
E02005718,84
E02005719,80
E02005720,15
E02005721,21
E02005722,16
E02005723,25
E02005724,26
E02005725,56
E02005726,46
E02005727,1
E02005728,1
E02005729,27
E02005730,3
E02005731,34
E02005732,7
E02005733,2
E02005734,24
E02005735,24
E02005736,25
E02005737,24
E02005738,26
E02005739,27
E02005740,37
E02005741,39
E02005742,2
E02005743,4
E02005744,1
E02005745,12
E02005746,18
E02005747,21
E02005748,26
E02005749,27
E02005750,36
E02005751,39
E02005752,4
E02005753,7
E02005754,7
E02005755,8
E02005756,5
E02005757,5
E02005758,5
E02005759,4
E02005760,11
E02005761,6
E02005762,6
E02005763,7
E02005764,8
E02005765,13
E02005766,4
E02005767,20
E02005768,17
E02005769,19
E02005770,17
E02005771,16
E02005772,18
E02005773,17
E02005774,18
E02005775,16
E02005776,20
E02005777,18
E02005778,20
E02005779,19
E02005780,21
E02005781,32
E02005782,18
E02005783,5
E02005784,6
E02005785,6
E02005786,1
E02005787,4
E02005788,2
E02005789,3
E02005790,1
E02005791,2
E02005794,3
E02005795,4
E02005796,6
E02005797,4
E02005798,3
E02005799,10
E02005800,10
E02005801,10
E02005802,10
E02005803,10
E02005804,10
E02005805,10
E02005806,10
E02005807,10
E02005808,12
E02005809,22
E02005810,7
E02005811,16
E02005812,31
E02005813,10
E02005814,11
E02005815,10
E02005816,10
E02005817,29
E02005818,19
E02006803,78
E02006811,58
E02006812,59
E02006813,48
E02006814,50
E02006841,131
E02006842,131
E02006843,92
E02006844,86
E02006852,124
E02006860,165
E02006861,125
E02006868,89
E02006869,89
E02006870,4
E02006871,18
E02006875,137
E02006876,136
E02006881,44
E02006884,59
E02006891,6
E02006892,6
E02006893,75
E02006902,227
E02006909,29
E02006910,59
E02006912,223
E02006913,221
E02006914,221
E02006915,220
E02006916,213
E02006917,219
E02006932,146
E02006933,141
E02006934,144
