msoa,index-of-transport-accessibility
E02002576,755
E02002577,709
E02002578,722
E02002579,724
E02002580,753
E02002581,739
E02002582,709
E02002583,723
E02002584,716
E02002585,699
E02002586,731
E02002587,677
E02002588,707
E02002589,742
E02002590,819
E02002591,780
E02002592,812
E02002593,873
E02002594,868
E02002595,834
E02002596,844
E02002597,819
E02002598,825
E02002599,758
E02002600,798
E02002601,831
E02002602,768
E02002603,848
E02002604,741
E02002605,728
E02002606,752
E02002607,746
E02002608,715
E02002609,752
E02002610,772
E02002611,821
E02002612,756
E02002613,825
E02002614,763
E02002615,645
E02002616,524
E02002617,665
E02002618,570
E02002619,559
E02002620,570
E02002621,646
E02002622,689
E02002623,612
E02002624,729
E02002625,688
E02002626,656
E02002627,717
E02002628,728
E02002629,662
E02002630,657
E02002631,591
E02002632,459
E02002633,136
E02002634,131
E02002635,93
E02002636,123
E02002637,154
E02002638,141
E02002639,200
E02002640,178
E02002641,223
E02002642,225
E02002643,261
E02002644,355
E02002645,337
E02002646,456
E02002647,322
E02002648,346
E02002649,283
E02002650,401
E02002651,354
E02002652,76
E02002653,78
E02002654,95
E02002655,75
E02002656,103
E02002657,82
E02002658,83
E02002659,95
E02002660,83
E02002661,78
E02002662,83
E02002663,107
E02002664,110
E02002665,110
E02002666,118
E02002667,120
E02002668,108
E02002669,121
E02002670,113
E02002671,117
E02002672,92
E02002673,118
E02002674,122
E02002675,141
E02002676,130
E02002677,141
E02002678,147
E02002679,146
E02002680,177
E02002681,170
E02002682,172
E02002684,24
E02002685,26
E02002686,29
E02002687,28
E02002688,35
E02002689,34
E02002691,81
E02002692,119
E02002693,66
E02002694,90
E02002695,52
E02002696,105
E02002697,74
E02002698,139
E02002699,93
E02002700,95
E02002701,189
E02002702,110
E02002703,117
E02002704,64
E02002705,135
E02002706,114
E02002707,324
E02002708,125
E02002709,297
E02002710,148
E02002711,167
E02002712,66
E02002714,47
E02002715,260
E02002716,68
E02002717,182
E02002718,207
E02002719,207
E02002720,414
E02002721,381
E02002722,20
E02002723,438
E02002724,389
E02002725,469
E02002726,125
E02002727,101
E02002728,114
E02002729,104
E02002730,97
E02002731,95
E02002732,104
E02002733,101
E02002734,98
E02002735,85
E02002736,92
E02002737,85
E02002738,85
E02002739,70
E02002740,85
E02002741,85
E02002742,66
E02002743,70
E02002744,79
E02002745,57
E02002746,61
E02002747,63
E02002748,66
E02002749,169
E02002750,148
E02002751,157
E02002752,136
E02002753,326
E02002754,304
E02002755,229
E02002756,224
E02002757,283
E02002758,202
E02002759,165
E02002760,216
E02002761,227
E02002762,200
E02002763,206
E02002764,199
E02002765,176
E02002766,173
E02002767,167
E02002768,294
E02002769,151
E02002770,266
E02002771,209
E02002772,138
E02002773,199
E02002774,199
E02002775,231
E02002776,168
E02002777,246
E02002778,249
E02002779,156
E02002780,196
E02002781,160
E02002782,323
E02002783,286
E02002784,127
E02002785,237
E02002786,186
E02002787,261
E02002788,188
E02002789,320
E02002790,213
E02002791,242
E02002792,217
E02002793,285
E02002794,201
E02002795,341
E02003794,732
E02003795,614
E02003796,585
E02003797,518
E02003798,407
E02003799,368
E02003800,526
E02003801,610
E02003802,522
E02003803,405
E02003804,587
E02003805,580
E02003806,563
E02003807,410
E02003808,437
E02003809,271
E02003810,127
E02003811,560
E02003812,692
E02003813,650
E02003814,569
E02003815,183
E02003816,296
E02003817,405
E02003818,216
E02003819,651
E02003820,552
E02003821,687
E02003822,576
E02003823,445
E02003824,447
E02003825,313
E02003826,489
E02003827,353
E02003828,261
E02003829,532
E02003830,317
E02003831,532
E02003832,366
E02003833,203
E02003834,380
E02003835,307
E02003836,303
E02003837,374
E02003838,399
E02003839,253
E02003840,82
E02003841,299
E02003842,451
E02003843,570
E02003844,303
E02003845,633
E02003846,496
E02003847,506
E02003848,548
E02003849,596
E02003850,548
E02003851,606
E02003852,588
E02003853,355
E02003854,630
E02003855,542
E02003856,688
E02003857,670
E02003858,640
E02003859,647
E02003860,604
E02003861,698
E02003862,404
E02003863,733
E02003864,596
E02003865,277
E02003866,289
E02003867,444
E02003868,265
E02003869,352
E02003870,295
E02003871,323
E02003872,247
E02003873,210
E02003874,704
E02003875,758
E02003876,724
E02003877,629
E02003878,734
E02003879,652
E02003880,689
E02003881,655
E02003882,722
E02003883,694
E02003884,672
E02003885,685
E02003886,628
E02003887,551
E02003888,595
E02003889,536
E02003890,511
E02003891,494
E02003965,37
E02003966,42
E02003967,38
E02003968,32
E02003969,28
E02003970,37
E02003971,38
E02003972,28
E02003973,28
E02003974,29
E02003975,33
E02003976,47
E02003977,24
E02003978,23
E02003979,21
E02003980,21
E02003981,19
E02003982,18
E02003983,18
E02003984,16
E02003985,14
E02003986,15
E02003987,27
E02003988,28
E02003989,38
E02003990,35
E02003991,35
E02003992,33
E02003993,34
E02003994,33
E02003995,34
E02003996,36
E02003997,40
E02003998,41
E02003999,40
E02004000,28
E02004001,23
E02004002,22
E02004003,21
E02004004,20
E02004005,21
E02004006,20
E02004007,23
E02004008,39
E02004009,54
E02004010,55
E02004011,52
E02004012,63
E02004013,48
E02004014,68
E02004015,37
E02004016,55
E02004017,68
E02004018,97
E02004019,99
E02004020,100
E02004021,62
E02004022,40
E02004023,85
E02004024,171
E02004025,159
E02004026,39
E02004027,48
E02004028,32
E02004290,312
E02004291,314
E02004292,320
E02004293,308
E02004294,308
E02004295,339
E02004296,288
E02004297,258
E02004298,219
E02004299,304
E02004300,244
E02004301,301
E02004302,273
E02004303,219
E02004304,215
E02004305,218
E02004306,245
E02004307,245
E02004308,309
E02004309,306
E02004310,271
E02004311,331
E02004312,331
E02004313,329
E02004314,326
E02004315,311
E02004316,217
E02004317,272
E02004318,335
E02004319,336
E02004320,326
E02004321,317
E02004322,326
E02004323,328
E02004324,327
E02004325,326
E02004326,330
E02004327,321
E02004328,334
E02004329,1
E02004330,323
E02004331,333
E02004332,332
E02004333,304
E02004334,325
E02004335,321
E02004336,333
E02004337,314
E02004338,327
E02004339,324
E02004340,303
E02004341,320
E02004342,308
E02004343,310
E02004344,309
E02004345,231
E02004346,62
E02004347,117
E02004348,69
E02004349,122
E02004350,160
E02004351,251
E02004352,308
E02004353,279
E02004354,261
E02004355,290
E02005176,399
E02005177,445
E02005178,514
E02005179,637
E02005180,654
E02005181,728
E02005182,501
E02005183,424
E02005184,276
E02005185,638
E02005186,755
E02005189,802
E02005190,751
E02005191,785
E02005192,762
E02005193,740
E02005194,756
E02005195,501
E02005196,690
E02005197,678
E02005198,669
E02005199,653
E02005200,682
E02005201,649
E02005202,679
E02005203,342
E02005204,490
E02005205,406
E02005206,254
E02005207,244
E02005208,214
E02005209,270
E02005210,170
E02005211,304
E02005212,511
E02005213,678
E02005214,675
E02005215,698
E02005216,711
E02005217,625
E02005218,597
E02005219,688
E02005220,641
E02005221,204
E02005222,164
E02005223,193
E02005224,156
E02005225,292
E02005226,142
E02005228,110
E02005229,88
E02005230,160
E02005231,196
E02005233,179
E02005234,162
E02005235,189
E02005236,101
E02005237,191
E02005238,258
E02005239,323
E02005240,241
E02005241,297
E02005242,255
E02005243,537
E02005244,597
E02005245,438
E02005246,562
E02005247,575
E02005248,583
E02005249,533
E02005250,563
E02005251,488
E02005252,566
E02005253,522
E02005254,676
E02005255,720
E02005256,717
E02005257,596
E02005258,635
E02005259,712
E02005260,579
E02005261,687
E02005262,506
E02005263,581
E02005264,523
E02005265,418
E02005266,706
E02005267,618
E02005268,709
E02005269,590
E02005270,273
E02005271,339
E02005272,301
E02005273,296
E02005274,549
E02005275,353
E02005276,527
E02005277,523
E02005278,579
E02005279,778
E02005280,314
E02005281,776
E02005284,787
E02005285,897
E02005286,490
E02005287,619
E02005288,721
E02005289,679
E02005290,754
E02005291,690
E02005292,700
E02005293,789
E02005294,747
E02005295,784
E02005296,695
E02005297,653
E02005298,751
E02005299,775
E02005300,699
E02005301,740
E02005302,789
E02005303,718
E02005304,366
E02005305,275
E02005306,379
E02005307,567
E02005308,778
E02005309,641
E02005310,705
E02005311,791
E02005312,788
E02005313,793
E02005314,791
E02005315,690
E02005316,796
E02005317,821
E02005318,805
E02005319,75
E02005320,69
E02005321,82
E02005322,125
E02005323,93
